categoria,pergunta,resposta_correta,resposta_intuitiva,origem
originais,A bat and a ball cost $1.10 in total. The bat costs a dollar more than the ball. How much does the ball cost?,5 cents,10 cents,2005
originais,"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5 minutes,100 minutes,2005
originais,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",47 days,24 days,2005
originais,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",4 days,9 days,2014
originais,Jerry received both the 15th highest and the 15th lowest mark in the class. How many students are in the class?,29 students,30 students,2014
originais,"A man buys a pig for £60, sells it for £70, buys it back for £80, and sells it finally for £90. How much has he made?",20,10,2014
originais,"Simon decided to invest £8,000 in the stock market one day early in 2008. Six months after he invested, on July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point, Simon has: A. broken even in the stock market. B. is ahead of where he began. C. has lost money",C (£7000),B,2014
originais,"If you're running a race and you pass the person in second place, what place are you in?",2nd,1st,2016
originais,A farmer had 15 sheep and all but 8 died. How many are left?,8,7,2016
originais,Emily's father had three daughters. The first two are named April and May. What is the third daughter's name?,Emily,June,2016
originais,How many cubic feet of dirt are there in a hole that 3 feet deep x 3 feet wide x 3 feet long?,None,27,2016
novas,A mirror and a painting cost 50.80 dollars in total. The mirror costs fifteen dollars more than the painting. How much does the painting cost?,17.9 dollars,35.8 dollars,2025
novas,"If a teddy bear costs 20 euros more than a doll and the teddy bear and the doll cost 100 euros in total, what's the price of the doll?",40 euros,80 euros,2025
novas,"If it takes 12 writers 12 days to write 12 books, how long would it take 70 writers to write 70 books?",12 days,70 days,2025
novas,It takes 3 tailors 3 hours to sew 3 dresses. How long would 16 tailors take to sew 16 dresses?,3 hours,16 hours,2025
novas,"A virus is spreading through a city. Every week, the contaminated area doubles in size. If it takes 30 weeks for the virus to contaminate the entire city, how long would it take for the virus to contaminate half of the city?",29 weeks,15 weeks,2025
novas,"If an entire house was submerged in water in 24 hours, with the water level doubling every hour, how many hours did it take to submerge half of the house?",23 hours,12 hours,2025
novas,"If Anna can paint a room in 3 hours and Bob can paint a room in 6 hours, how many hours would it take for them to paint a room together?",2 hours,4.5 hours,2025
